alter_id,group,group2,reco_contains_mh,reco_contains_tg,reco_contains_pg,reco_contains_sq,reco_contains_vn,reco_contains_cx,reco_contains_od
0,1,hola,0,.47368422,0,.5,0,.02631579,0
1,1,hola,0,.55555558,0,.41666666,0,.027777778,0
2,1,hola,0,.46153846,0,.5,0,.03846154,0
3,1,hola,0,.63157892,0,.34210527,0,.02631579,0
4,1,hola,0,.52777779,0,.44444445,0,0,0
5,1,hola,0,.5714286,0,.38095239,0,0,0
6,1,hola,.020833334,.52083331,0,.41666666,0,.041666668,0
7,1,hola,0,.5714286,0,.39285713,0,.035714287,0
8,1,hola,0,.44,0,.47999999,0,.079999998,0
9,1,hola,0,.60714287,0,.35714287,0,.035714287,0
10,1,hola,0,.5925926,0,.4074074,0,0,0
11,1,hola,0,.69230771,0,.26923078,0,.03846154,0
12,1,hola,0,.52083331,0,.4375,0,.041666668,0
13,1,hola,0,.60714287,0,.35714287,0,.035714287,0
14,1,hola,0,.45833334,0,.5,0,.041666668,0
15,1,hola,0,.52631581,0,.47368422,0,0,0
16,1,hola,0,.62068963,0,.34482759,0,.034482758,0
17,1,hola,0,.39393941,0,.57575756,0,.030303031,0
18,1,hola,0,.5714286,0,.39285713,0,.035714287,0
19,1,hola,0,.66666669,0,.27272728,0,.060606062,0
20,1,hola,0,.48275861,0,.44827586,0,.068965517,0
21,1,hola,0,.46666667,0,.46666667,0,.06666667,0
22,1,hola,0,.59375,0,.375,0,.03125,0
23,1,hola,0,.54545456,0,.42424244,0,.030303031,0
24,1,hola,0,.54545456,0,.40909091,0,.045454547,0
25,1,hola,0,.52499998,0,.42500001,0,.050000001,0
26,1,hola,0,.43478259,0,.47826087,0,.086956523,0
27,1,hola,0,.48275861,0,.48275861,0,.034482758,0
28,1,hola,0,.36666667,0,.5,0,.1,0
29,1,hola,0,.61904764,0,.2857143,0,.095238097,0
30,1,hola,0,.68421054,0,.31578946,0,0,0
31,1,hola,0,.56410259,0,.38461539,0,.051282052,0
32,1,hola,0,.57575756,0,.39393941,0,.030303031,0
33,1,hola,.028571429,.54285717,0,.37142858,0,.057142857,0
34,1,hola,0,.48387095,0,.3548387,0,.16129032,0
35,1,hola,.03125,.65625,0,.3125,0,0,0
36,1,hola,0,.53846157,0,.41025642,0,.051282052,0
37,1,hola,.029411765,.52941179,0,.35294119,0,.088235296,0
38,1,hola,.033333335,.53333336,0,.43333334,0,0,0
39,1,hola,0,.66666669,0,.22222222,0,.11111111,0
40,1,hola,0,.56410259,0,.43589744,0,0,0
41,1,hola,0,.4848485,0,.42424244,0,.090909094,0
42,1,hola,0,.55555558,0,.33333334,0,.11111111,0
43,1,hola,0,.51612902,0,.45161289,0,0,0
44,1,hola,0,.48275861,0,.51724136,0,0,0
45,1,hola,0,.5945946,0,.35135135,0,.054054055,0
46,1,hola,0,.52941179,0,.41176471,0,.05882353,0
47,1,hola,0,.51219511,0,.48780489,0,0,0
48,1,hola,0,.65714288,0,.31428573,0,.028571429,0
49,1,hola,0,.4848485,0,.42424244,0,.090909094,0
50,1,hola,0,.65384614,0,.30769232,0,.03846154,0
51,1,hola,0,.58823532,0,.35294119,0,.05882353,0
52,1,hola,0,.58823532,0,.38235295,0,.029411765,0
53,1,hola,0,.625,0,.34375,0,.03125,0
54,1,hola,0,.57894737,0,.39473686,0,.02631579,0
55,1,hola,0,.64516127,0,.29032257,0,.064516127,0
56,1,hola,0,.60606062,0,.36363637,0,.030303031,0
57,1,hola,0,.48275861,0,.44827586,0,.068965517,0
58,1,hola,0,.71052629,0,.2631579,0,.02631579,0
59,1,hola,0,.55882353,0,.32352942,0,.11764706,0
0,2,hola,0,.36363637,0,.54545456,0,.090909094,0
1,2,hola,0,.53846157,0,.38461539,0,.07692308,0
2,2,hola,0,.75,0,.1875,0,.0625,0
3,2,hola,0,.72727275,0,.27272728,0,0,0
4,2,hola,0,.5,0,.5,0,0,0
5,2,hola,0,.61538464,0,.30769232,0,.07692308,0
6,2,hola,0,.66666669,0,.33333334,0,0,0
7,2,hola,0,.78947371,0,.21052632,0,0,0
8,2,hola,0,.53333336,0,.46666667,0,0,0
9,2,hola,0,.27272728,0,.72727275,0,0,0
10,2,hola,0,.44999999,0,.5,0,.050000001,0
11,2,hola,0,.40000001,0,.5,0,.1,0
12,2,hola,0,.4074074,0,.55555558,0,.037037037,0
13,2,hola,0,.66666669,0,.33333334,0,0,0
14,2,hola,0,.52380955,0,.47619048,0,0,0
15,2,hola,0,.75,0,.25,0,0,0
16,2,hola,0,.60869563,0,.34782609,0,.043478262,0
17,2,hola,0,.61538464,0,.23076923,0,.15384616,0
18,2,hola,0,.5,0,.5,0,0,0
19,2,hola,.055555556,.55555558,0,.33333334,0,.055555556,0
20,2,hola,0,.69230771,0,.30769232,0,0,0
21,2,hola,0,.5,0,.5,0,0,0
22,2,hola,0,.46153846,0,.53846157,0,0,0
23,2,hola,0,.5,0,.4375,0,.0625,0
24,2,hola,0,.5625,0,.4375,0,0,0
25,2,hola,0,.55000001,0,.44999999,0,0,0
26,2,hola,0,.5,0,.45454547,0,.045454547,0
27,2,hola,0,.63636363,0,.36363637,0,0,0
28,2,hola,0,.375,0,.4375,0,.125,0
29,2,hola,0,.5625,0,.4375,0,0,0
30,2,hola,0,.66666669,0,.33333334,0,0,0
31,2,hola,.1,.40000001,0,.5,0,0,0
32,2,hola,0,.58333331,0,.375,0,.041666668,0
33,2,hola,0,.63157892,0,.2631579,0,.10526316,0
34,2,hola,.052631579,.42105263,0,.42105263,0,.10526316,0
35,2,hola,0,.16666667,0,.75,0,.083333336,0
36,2,hola,0,.33333334,0,.66666669,0,0,0
37,2,hola,0,.85714287,0,.14285715,0,0,0
38,2,hola,0,.70588237,0,.23529412,0,.05882353,0
39,2,hola,0,.68181819,0,.22727273,0,.090909094,0
40,2,hola,0,.61904764,0,.2857143,0,.095238097,0
41,2,hola,0,.41666666,0,.58333331,0,0,0
42,2,hola,0,.33333334,0,.66666669,0,0,0
43,2,hola,0,.52941179,0,.35294119,0,.11764706,0
44,2,hola,0,.5714286,0,.42857143,0,0,0
45,2,hola,0,.52941179,0,.35294119,0,.11764706,0
46,2,hola,0,.66666669,0,.33333334,0,0,0
47,2,hola,0,.35714287,0,.64285713,0,0,0
48,2,hola,0,.46666667,0,.33333334,0,.2,0
49,2,hola,0,.5,0,.5,0,0,0
50,2,hola,0,.60000002,0,.40000001,0,0,0
51,2,hola,.0625,.5,0,.4375,0,0,0
52,2,hola,0,.47999999,0,.51999998,0,0,0
53,2,hola,0,.38461539,0,.61538464,0,0,0
54,2,hola,0,.66666669,0,.22222222,0,.11111111,0
55,2,hola,0,.58823532,0,.41176471,0,0,0
56,2,hola,0,.47826087,0,.43478259,0,.086956523,0
57,2,hola,0,.4375,0,.5625,0,0,0
58,2,hola,0,.70833331,0,.25,0,.041666668,0
59,2,hola,0,.35714287,0,.5714286,0,.071428575,0
60,2,hola,0,.68421054,0,.2631579,0,.052631579,0
61,2,hola,0,.52941179,0,.41176471,0,.05882353,0
62,2,hola,0,.63636363,0,.27272728,0,.090909094,0
63,2,hola,0,.69999999,0,.30000001,0,0,0
64,2,hola,0,.73333335,0,.2,0,.06666667,0
65,2,hola,0,.60869563,0,.34782609,0,0,0
66,2,hola,0,.45454547,0,.54545456,0,0,0
67,2,hola,0,.66666669,0,.33333334,0,0,0
68,2,hola,0,.73333335,0,.13333334,0,.13333334,0
69,2,hola,0,.58823532,0,.41176471,0,0,0
70,2,hola,0,.42857143,0,.5,0,.071428575,0
71,2,hola,0,.56521738,0,.39130434,0,0,0
72,2,hola,0,.52941179,0,.47058824,0,0,0
73,2,hola,.052631579,.57894737,0,.36842105,0,0,0
74,2,hola,0,.75,0,.25,0,0,0
75,2,hola,0,.44444445,0,.3888889,0,.16666667,0
76,2,hola,0,.36842105,0,.57894737,0,.052631579,0
77,2,hola,0,.69230771,0,.23076923,0,.07692308,0
78,2,hola,0,.47058824,0,.41176471,0,.11764706,0
79,2,hola,0,.5625,0,.375,0,.0625,0
80,2,hola,0,.53333336,0,.46666667,0,0,0
81,2,hola,0,.5,0,.42857143,0,.071428575,0
82,2,hola,0,.47999999,0,.47999999,0,.039999999,0
83,2,hola,0,.42857143,0,.2857143,0,.2857143,0
84,2,hola,0,.55555558,0,.44444445,0,0,0
85,2,hola,0,.86666667,0,.13333334,0,0,0
86,2,hola,0,.66666669,0,.25,0,0,0
87,2,hola,0,.90909094,0,.090909094,0,0,0
88,2,hola,0,.52631581,0,.42105263,0,.052631579,0
89,2,hola,0,.5,0,.4375,0,.0625,0
90,2,hola,0,.58823532,0,.41176471,0,0,0
91,2,hola,0,.69230771,0,.30769232,0,0,0
92,2,hola,0,.7647059,0,.17647059,0,.05882353,0
93,2,hola,0,.56521738,0,.34782609,0,.086956523,0
94,2,hola,0,.6111111,0,.27777779,0,.11111111,0
95,2,hola,0,.58333331,0,.41666666,0,0,0
96,2,hola,0,.4375,0,.5,0,.0625,0
97,2,hola,0,.5625,0,.4375,0,0,0
98,2,hola,0,.8125,0,.125,0,.0625,0
99,2,hola,0,.29411766,0,.58823532,0,.11764706,0
100,2,hola,0,.85714287,0,.14285715,0,0,0
101,2,hola,0,.38461539,0,.61538464,0,0,0
102,2,hola,0,.4375,0,.5625,0,0,0
103,2,hola,0,.6111111,0,.27777779,0,.11111111,0
104,2,hola,0,.5,0,.5,0,0,0
105,2,hola,0,.85714287,0,.14285715,0,0,0
106,2,hola,0,.63636363,0,.36363637,0,0,0
107,2,hola,0,.6111111,0,.33333334,0,.055555556,0
108,2,hola,0,.72222221,0,.16666667,0,.11111111,0
109,2,hola,0,.42307693,0,.5,0,.07692308,0
110,2,hola,0,.41666666,0,.5,0,.083333336,0
111,2,hola,0,.53846157,0,.23076923,0,.23076923,0
112,2,hola,0,.47368422,0,.47368422,0,.052631579,0
113,2,hola,0,.33333334,0,.5,0,.16666667,0
114,2,hola,0,.5,0,.5,0,0,0
115,2,hola,0,.43478259,0,.52173913,0,.043478262,0
116,2,hola,0,.5,0,.5,0,0,0
117,2,hola,0,.5714286,0,.35714287,0,.071428575,0
118,2,hola,0,.47619048,0,.52380955,0,0,0
119,2,hola,0,.38461539,0,.61538464,0,0,0
0,3,hola,0,.60504204,0,.37394959,0,.021008404,0
1,3,hola,0,.546875,0,.38020834,0,.067708336,0
2,3,hola,.012820513,.53205127,0,.41025642,0,.044871796,0
3,3,hola,.005076142,.56852794,0,.37563452,0,.040609136,0
4,3,hola,.0046948357,.56807512,0,.37089202,0,.056338027,0
5,3,hola,0,.55440414,0,.40932643,0,.03626943,0
6,3,hola,0,.5,0,.44845361,0,.051546391,0
7,3,hola,0,.55665022,0,.39901477,0,.044334974,0
8,3,hola,0,.51977402,0,.42937854,0,.050847456,0
9,3,hola,.0054347827,.55978262,0,.39673913,0,.032608695,0
0,4,hola,0,.65714288,0,.34285715,0,0,0
1,4,hola,0,.52941179,0,.44117647,0,.029411765,0
2,4,hola,0,.64864862,0,.32432431,0,.027027028,0
3,4,hola,0,.75999999,0,.16,0,.079999998,0
4,4,hola,0,.5945946,0,.37837839,0,.027027028,0
5,4,hola,0,.5,0,.44736841,0,.052631579,0
6,4,hola,0,.66666669,0,.33333334,0,0,0
7,4,hola,0,.40000001,0,.51999998,0,.079999998,0
8,4,hola,0,.65517241,0,.31034482,0,.034482758,0
9,4,hola,0,.55172414,0,.34482759,0,.10344828,0
10,4,hola,0,.66666669,0,.30303031,0,.030303031,0
11,4,hola,0,.2962963,0,.5925926,0,.11111111,0
12,4,hola,0,.5,0,.5,0,0,0
13,4,hola,0,.55882353,0,.44117647,0,0,0
14,4,hola,0,.55172414,0,.41379312,0,.034482758,0
15,4,hola,0,.48148149,0,.44444445,0,.074074075,0
16,4,hola,0,.64285713,0,.35714287,0,0,0
17,4,hola,.025,.47499999,0,.47499999,0,.025,0
18,4,hola,0,.55263156,0,.39473686,0,.052631579,0
19,4,hola,0,.60000002,0,.33333334,0,.06666667,0
20,4,hola,0,.44444445,0,.48148149,0,.074074075,0
21,4,hola,0,.51724136,0,.34482759,0,.13793103,0
22,4,hola,0,.54838711,0,.38709676,0,.064516127,0
23,4,hola,0,.55555558,0,.44444445,0,0,0
24,4,hola,0,.65714288,0,.34285715,0,0,0
25,4,hola,.051282052,.51282054,0,.41025642,0,.025641026,0
26,4,hola,0,.58620691,0,.37931034,0,.034482758,0
27,4,hola,0,.51724136,0,.41379312,0,.068965517,0
28,4,hola,0,.63414633,0,.36585367,0,0,0
29,4,hola,0,.61904764,0,.38095239,0,0,0
30,4,hola,0,.35897437,0,.56410259,0,.07692308,0
31,4,hola,0,.3888889,0,.55555558,0,.055555556,0
32,4,hola,.028571429,.62857145,0,.31428573,0,.028571429,0
33,4,hola,0,.625,0,.30000001,0,.050000001,0
34,4,hola,0,.46666667,0,.46666667,0,.06666667,0
35,4,hola,0,.48148149,0,.48148149,0,.037037037,0
36,4,hola,0,.54838711,0,.3548387,0,.096774191,0
37,4,hola,0,.62962961,0,.33333334,0,.037037037,0
38,4,hola,0,.57575756,0,.42424244,0,0,0
39,4,hola,0,.75,0,.25,0,0,0
40,4,hola,0,.47058824,0,.41176471,0,.088235296,0
41,4,hola,.030303031,.60606062,0,.30303031,0,.060606062,0
42,4,hola,0,.55882353,0,.41176471,0,.029411765,0
43,4,hola,0,.53125,0,.46875,0,0,0
44,4,hola,0,.55813956,0,.41860464,0,.023255814,0
45,4,hola,0,.44444445,0,.5,0,.055555556,0
46,4,hola,0,.54545456,0,.42424244,0,.030303031,0
47,4,hola,0,.57575756,0,.42424244,0,0,0
48,4,hola,0,.66666669,0,.2820513,0,.025641026,0
49,4,hola,0,.45714286,0,.51428574,0,0,0
50,4,hola,0,.5151515,0,.39393941,0,.090909094,0
51,4,hola,0,.69999999,0,.2,0,.1,0
52,4,hola,0,.5714286,0,.31428573,0,.11428571,0
53,4,hola,0,.51282054,0,.46153846,0,.025641026,0
54,4,hola,0,.41935483,0,.38709676,0,.19354838,0
55,4,hola,0,.73076922,0,.1923077,0,.07692308,0
56,4,hola,0,.51999998,0,.44,0,.039999999,0
57,4,hola,0,.44827586,0,.51724136,0,.034482758,0
58,4,hola,0,.52631581,0,.42105263,0,.052631579,0
59,4,hola,0,.5,0,.5,0,0,0
