session_id,alter_id,choice,reco_contains_mh,reco_contains_tg,reco_contains_pg,reco_contains_sq,reco_contains_vn,reco_contains_cx,reco_contains_od,deptime_outbound_sin2p,deptime_outbound_sin4p,deptime_outbound_cos2p,deptime_outbound_cos4p,deptime_inbound_sin2p,deptime_inbound_sin4p,deptime_inbound_cos2p,deptime_inbound_cos4p,group,group2
3404400,40,1,0,0,0,1,0,0,0,.94693011,-.60876149,-.3214395,-.79335326,-.81915212,.9396925,-.57357633,-.34202039,1,hola
3408254,55,1,0,0,0,1,0,0,0,.59130967,-.95371699,-.80644459,.30070573,-.065403335,.1305266,-.99785888,.99144483,1,hola
34024058,38,1,0,0,0,1,0,0,0,.94693011,-.60876149,-.3214395,-.79335326,-.6755904,-.99619472,.73727715,.087155186,1,hola
34041288,54,1,0,0,0,1,0,0,0,.94693011,-.60876149,-.3214395,-.79335326,-.99144489,-.25881863,.13052599,-.96592593,1,hola
34041478,57,1,0,0,0,1,0,0,0,.55557024,-.9238795,-.8314696,.38268343,-.81915212,.9396925,-.57357633,-.34202039,1,hola
34041506,44,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.93200779,-.6755904,.36243817,-.73727715,1,hola
34043918,6,1,0,0,0,0,0,1,0,-.49999982,.86602521,-.86602551,.50000036,-.19509032,.38268343,-.98078525,.9238795,1,hola
34044978,27,1,0,0,0,1,0,0,0,-.30070573,.57357633,-.95371699,.81915212,-.065403335,.1305266,-.99785888,.99144483,1,hola
34061308,35,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,-.93200779,-.6755904,.36243817,-.73727715,1,hola
34063564,4,1,0,0,0,1,0,0,0,-.86602551,.86602521,-.49999982,-.50000036,-.065403335,.1305266,-.99785888,.99144483,1,hola
34064364,59,1,0,0,0,1,0,0,0,.59130967,-.95371699,-.80644459,.30070573,-.85491174,-.88701111,.5187735,-.46174812,1,hola
34064776,51,1,0,0,0,1,0,0,0,-.99144489,.25881863,-.13052599,-.96592593,-.7933532,.96592593,-.60876161,-.25881863,1,hola
34064968,3,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.90630788,-.76604408,.422618,-.64278805,1,hola
34065848,0,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.91531152,.73727715,-.40274656,-.6755904,1,hola
34082776,18,1,0,0,0,1,0,0,0,-.99144489,.25881863,-.13052599,-.96592593,-.7933532,.96592593,-.60876161,-.25881863,1,hola
34083954,49,1,0,1,0,0,0,0,0,-.73727715,-.99619472,.6755904,-.087155186,-.90630788,-.76604408,.422618,-.64278805,1,hola
34084228,9,1,0,1,0,0,0,0,0,-.73727715,-.99619472,.6755904,-.087155186,-.90630788,-.76604408,.422618,-.64278805,1,hola
34084732,10,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.90630788,-.76604408,.422618,-.64278805,1,hola
34085044,0,1,0,1,0,0,0,0,0,.90630776,-.7660445,-.4226183,-.64278758,-.90630788,-.76604408,.422618,-.64278805,1,hola
34085234,15,1,0,0,0,1,0,0,0,-.21643947,.422618,-.97629601,.90630788,-.85491174,-.88701111,.5187735,-.46174812,1,hola
34085484,17,1,0,0,0,1,0,0,0,.59130967,-.95371699,-.80644459,.30070573,-.065403335,.1305266,-.99785888,.99144483,1,hola
34086062,57,1,0,1,0,0,0,0,0,-.85491174,.88701111,-.5187735,-.46174812,-.91531152,.73727715,-.40274656,-.6755904,1,hola
34104480,51,1,0,1,0,0,0,0,0,-.1088668,.21643947,-.99405634,.97629601,-.90630788,-.76604408,.422618,-.64278805,1,hola
